EventId : 1, Level : Informational, Message : Optimizer log Start, APP version: 1101.2209.2.0, Payload : [message : Optimizer log Start, APP version: 1101.2209.2.0] , EventName : InfoInfo, Timestamp : 2022-09-21T11:29:03.1665352Z, ProcessId : 18420, ThreadId : 18424

EventId : 1, Level : Informational, Message : ----- Log Start, version: 1101.2209.2.0, Payload : [message : ----- Log Start, version: 1101.2209.2.0] , EventName : InfoInfo, Timestamp : 2022-09-21T11:29:03.2265490Z, ProcessId : 18420, ThreadId : 18424

EventId : 1, Level : Informational, Message : args[0] = -update, Payload : [message : args[0] = -update] , EventName : InfoInfo, Timestamp : 2022-09-21T11:29:03.2265490Z, ProcessId : 18420, ThreadId : 18424

EventId : 1, Level : Informational, Message : DoUpdate()C:\Program Files\HP\SystemOptimizer, Payload : [message : DoUpdate()C:\Program Files\HP\SystemOptimizer] , EventName : InfoInfo, Timestamp : 2022-09-21T11:29:03.2295499Z, ProcessId : 18420, ThreadId : 18424

EventId : 1, Level : Informational, Message : TaskScheduler::Stop - task: SystemOptimizer, enter Stop(), Payload : [message : TaskScheduler::Stop - task: SystemOptimizer, enter Stop()] , EventName : InfoInfo, Timestamp : 2022-09-21T11:29:03.3165695Z, ProcessId : 18420, ThreadId : 18424

EventId : 1, Level : Informational, Message : TaskScheduler::Stop - task: SystemOptimizer, leave Stop(), Payload : [message : TaskScheduler::Stop - task: SystemOptimizer, leave Stop()] , EventName : InfoInfo, Timestamp : 2022-09-21T11:29:03.4125909Z, ProcessId : 18420, ThreadId : 18424

EventId : 1, Level : Informational, Message : TaskScheduler::Create - task: SystemOptimizer, Create(), Payload : [message : TaskScheduler::Create - task: SystemOptimizer, Create()] , EventName : InfoInfo, Timestamp : 2022-09-21T11:29:03.4315966Z, ProcessId : 18420, ThreadId : 18424

EventId : 1, Level : Informational, Message : TaskScheduler::Create - delete old task: SystemOptimizer, Payload : [message : TaskScheduler::Create - delete old task: SystemOptimizer] , EventName : InfoInfo, Timestamp : 2022-09-21T11:29:03.4756056Z, ProcessId : 18420, ThreadId : 18424

EventId : 1, Level : Informational, Message : TaskScheduler::GetGroupNameFromSID - get Users' groupId: BUILTIN\Users, Payload : [message : TaskScheduler::GetGroupNameFromSID - get Users' groupId: BUILTIN\Users] , EventName : InfoInfo, Timestamp : 2022-09-21T11:29:03.4946098Z, ProcessId : 18420, ThreadId : 18424

EventId : 1, Level : Informational, Message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp, dest=C:\Program Files\HP\SystemOptimizer, Payload : [message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp, dest=C:\Program Files\HP\SystemOptimizer] , EventName : InfoInfo, Timestamp : 2022-09-21T11:29:04.3162054Z, ProcessId : 18420, ThreadId : 18424

EventId : 1, Level : Informational, Message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\ar, dest=C:\Program Files\HP\SystemOptimizer\ar, Payload : [message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\ar, dest=C:\Program Files\HP\SystemOptimizer\ar] , EventName : InfoInfo, Timestamp : 2022-09-21T11:29:09.3238977Z, ProcessId : 18420, ThreadId : 18424

EventId : 1, Level : Informational, Message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\cs, dest=C:\Program Files\HP\SystemOptimizer\cs, Payload : [message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\cs, dest=C:\Program Files\HP\SystemOptimizer\cs] , EventName : InfoInfo, Timestamp : 2022-09-21T11:29:09.3339013Z, ProcessId : 18420, ThreadId : 18424

EventId : 1, Level : Informational, Message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\da, dest=C:\Program Files\HP\SystemOptimizer\da, Payload : [message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\da, dest=C:\Program Files\HP\SystemOptimizer\da] , EventName : InfoInfo, Timestamp : 2022-09-21T11:29:09.3439032Z, ProcessId : 18420, ThreadId : 18424

EventId : 1, Level : Informational, Message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\de, dest=C:\Program Files\HP\SystemOptimizer\de, Payload : [message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\de, dest=C:\Program Files\HP\SystemOptimizer\de] , EventName : InfoInfo, Timestamp : 2022-09-21T11:29:09.3544021Z, ProcessId : 18420, ThreadId : 18424

EventId : 1, Level : Informational, Message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\el, dest=C:\Program Files\HP\SystemOptimizer\el, Payload : [message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\el, dest=C:\Program Files\HP\SystemOptimizer\el] , EventName : InfoInfo, Timestamp : 2022-09-21T11:29:09.3642535Z, ProcessId : 18420, ThreadId : 18424

