EventId : 1, Level : Informational, Message : Optimizer log Start, APP version: 1101.2211.6.0, Payload : [message : Optimizer log Start, APP version: 1101.2211.6.0] , EventName : InfoInfo, Timestamp : 2022-11-21T10:19:24.3162302Z, ProcessId : 3172, ThreadId : 11616

EventId : 1, Level : Informational, Message : ----- Log Start, version: 1101.2211.6.0, Payload : [message : ----- Log Start, version: 1101.2211.6.0] , EventName : InfoInfo, Timestamp : 2022-11-21T10:19:24.4242771Z, ProcessId : 3172, ThreadId : 11616

EventId : 1, Level : Informational, Message : args[0] = -update, Payload : [message : args[0] = -update] , EventName : InfoInfo, Timestamp : 2022-11-21T10:19:24.4282783Z, ProcessId : 3172, ThreadId : 11616

EventId : 1, Level : Informational, Message : DoUpdate()C:\Program Files\HP\SystemOptimizer, Payload : [message : DoUpdate()C:\Program Files\HP\SystemOptimizer] , EventName : InfoInfo, Timestamp : 2022-11-21T10:19:24.4322793Z, ProcessId : 3172, ThreadId : 11616

EventId : 1, Level : Informational, Message : TaskScheduler::Stop - task: SystemOptimizer, enter Stop(), Payload : [message : TaskScheduler::Stop - task: SystemOptimizer, enter Stop()] , EventName : InfoInfo, Timestamp : 2022-11-21T10:19:24.5602945Z, ProcessId : 3172, ThreadId : 11616

EventId : 1, Level : Informational, Message : TaskScheduler::Stop - task: SystemOptimizer, leave Stop(), Payload : [message : TaskScheduler::Stop - task: SystemOptimizer, leave Stop()] , EventName : InfoInfo, Timestamp : 2022-11-21T10:19:24.7283439Z, ProcessId : 3172, ThreadId : 11616

EventId : 1, Level : Informational, Message : TaskScheduler::Create - task: SystemOptimizer, Create(), Payload : [message : TaskScheduler::Create - task: SystemOptimizer, Create()] , EventName : InfoInfo, Timestamp : 2022-11-21T10:19:24.7323404Z, ProcessId : 3172, ThreadId : 11616

EventId : 1, Level : Informational, Message : TaskScheduler::Create - delete old task: SystemOptimizer, Payload : [message : TaskScheduler::Create - delete old task: SystemOptimizer] , EventName : InfoInfo, Timestamp : 2022-11-21T10:19:24.8123617Z, ProcessId : 3172, ThreadId : 11616

EventId : 1, Level : Informational, Message : TaskScheduler::GetGroupNameFromSID - get Users' groupId: BUILTIN\Users, Payload : [message : TaskScheduler::GetGroupNameFromSID - get Users' groupId: BUILTIN\Users] , EventName : InfoInfo, Timestamp : 2022-11-21T10:19:24.8523905Z, ProcessId : 3172, ThreadId : 11616

EventId : 1, Level : Informational, Message : GetUwpInstalledFolder: Path = C:\Program Files\WindowsApps\AD2F1837.OMENCommandCenter_1101.2211.6.0_x64__v10z8vjag6ke6, Payload : [message : GetUwpInstalledFolder: Path = C:\Program Files\WindowsApps\AD2F1837.OMENCommandCenter_1101.2211.6.0_x64__v10z8vjag6ke6] , EventName : InfoInfo, Timestamp : 2022-11-21T10:19:25.7172382Z, ProcessId : 3172, ThreadId : 11616

EventId : 1, Level : Informational, Message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp, dest=C:\Program Files\HP\SystemOptimizer, Payload : [message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp, dest=C:\Program Files\HP\SystemOptimizer] , EventName : InfoInfo, Timestamp : 2022-11-21T10:19:26.0516183Z, ProcessId : 3172, ThreadId : 11616

EventId : 1, Level : Informational, Message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\ar, dest=C:\Program Files\HP\SystemOptimizer\ar, Payload : [message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\ar, dest=C:\Program Files\HP\SystemOptimizer\ar] , EventName : InfoInfo, Timestamp : 2022-11-21T10:19:34.9769274Z, ProcessId : 3172, ThreadId : 11616

EventId : 1, Level : Informational, Message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\cs, dest=C:\Program Files\HP\SystemOptimizer\cs, Payload : [message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\cs, dest=C:\Program Files\HP\SystemOptimizer\cs] , EventName : InfoInfo, Timestamp : 2022-11-21T10:19:35.0049450Z, ProcessId : 3172, ThreadId : 11616

EventId : 1, Level : Informational, Message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\da, dest=C:\Program Files\HP\SystemOptimizer\da, Payload : [message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\da, dest=C:\Program Files\HP\SystemOptimizer\da] , EventName : InfoInfo, Timestamp : 2022-11-21T10:19:35.0329434Z, ProcessId : 3172, ThreadId : 11616

EventId : 1, Level : Informational, Message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\de, dest=C:\Program Files\HP\SystemOptimizer\de, Payload : [message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\de, dest=C:\Program Files\HP\SystemOptimizer\de] , EventName : InfoInfo, Timestamp : 2022-11-21T10:19:35.0529502Z, ProcessId : 3172, ThreadId : 11616

EventId : 1, Level : Informational, Message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\el, dest=C:\Program Files\HP\SystemOptimizer\el, Payload : [message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\el, dest=C:\Program Files\HP\SystemOptimizer\el] , EventName : InfoInfo, Timestamp : 2022-11-21T10:19:35.0769531Z, ProcessId : 3172, ThreadId : 11616

EventId : 1, Level : Informational, Message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\en-US, dest=C:\Program Files\HP\SystemOptimizer\en-US, Payload : [message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\en-US, dest=C:\Program Files\HP\SystemOptimizer\en-US] , EventName : InfoInfo, Timestamp : 2022-11-21T10:19:35.0969582Z, ProcessId : 3172, ThreadId : 11616

EventId : 1, Level : Informational, Message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\es, dest=C:\Program Files\HP\SystemOptimizer\es, Payload : [message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\es, dest=C:\Program Files\HP\SystemOptimizer\es] , EventName : InfoInfo, Timestamp : 2022-11-21T10:19:35.1181240Z, ProcessId : 3172, ThreadId : 11616

EventId : 1, Level : Informational, Message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\fi, dest=C:\Program Files\HP\SystemOptimizer\fi, Payload : [message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\fi, dest=C:\Program Files\HP\SystemOptimizer\fi] , EventName : InfoInfo, Timestamp : 2022-11-21T10:19:35.1381462Z, ProcessId : 3172, ThreadId : 11616

EventId : 1, Level : Informational, Message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\fr, dest=C:\Program Files\HP\SystemOptimizer\fr, Payload : [message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\fr, dest=C:\Program Files\HP\SystemOptimizer\fr] , EventName : InfoInfo, Timestamp : 2022-11-21T10:19:35.1581514Z, ProcessId : 3172, ThreadId : 11616

EventId : 1, Level : Informational, Message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\hr, dest=C:\Program Files\HP\SystemOptimizer\hr, Payload : [message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\hr, dest=C:\Program Files\HP\SystemOptimizer\hr] , EventName : InfoInfo, Timestamp : 2022-11-21T10:19:35.1781563Z, ProcessId : 3172, ThreadId : 11616

EventId : 1, Level : Informational, Message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\it, dest=C:\Program Files\HP\SystemOptimizer\it, Payload : [message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\it, dest=C:\Program Files\HP\SystemOptimizer\it] , EventName : InfoInfo, Timestamp : 2022-11-21T10:19:35.1981620Z, ProcessId : 3172, ThreadId : 11616

EventId : 1, Level : Informational, Message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\ja, dest=C:\Program Files\HP\SystemOptimizer\ja, Payload : [message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\ja, dest=C:\Program Files\HP\SystemOptimizer\ja] , EventName : InfoInfo, Timestamp : 2022-11-21T10:19:35.2181677Z, ProcessId : 3172, ThreadId : 11616

EventId : 1, Level : Informational, Message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\ko, dest=C:\Program Files\HP\SystemOptimizer\ko, Payload : [message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\ko, dest=C:\Program Files\HP\SystemOptimizer\ko] , EventName : InfoInfo, Timestamp : 2022-11-21T10:19:35.2341709Z, ProcessId : 3172, ThreadId : 11616

EventId : 1, Level : Informational, Message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\lt, dest=C:\Program Files\HP\SystemOptimizer\lt, Payload : [message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\lt, dest=C:\Program Files\HP\SystemOptimizer\lt] , EventName : InfoInfo, Timestamp : 2022-11-21T10:19:35.2581772Z, ProcessId : 3172, ThreadId : 11616

EventId : 1, Level : Informational, Message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\lv, dest=C:\Program Files\HP\SystemOptimizer\lv, Payload : [message : DirectoryCopy(), source=C:\Users\SOUMYODIP SUTRADHAR\AppData\Local\Temp\HP\SystemOptimizerTemp\lv, dest=C:\Program Files\HP\SystemOptimizer\lv] , EventName : InfoInfo, Timestamp : 2022-11-21T10:19:35.2781824Z, ProcessId : 3172, ThreadId : 11616

